zeta_deg,phi_deg,pDC,FDK,FaK,Fwk,FKx,FKy,FK,MKx,MKy,MK,FSKx,FSKy,FAKz,FAKy,Fwky,Fwkz,FAK_inclined
0,10,3606170,1047.1094367221476,225.94256878108095,920.1858374586101,-55.11723639216082,1232.7712181570432,1234.0027496176456,6.0760045676017675,-0.5511723639216082,6.10095258793809,0.0,317.40751404762585,1273.0520055032287,0.0,920.1858374586101,0.0,1273.0520055032287
0,11,4358030,1271.6506600780926,225.21285675819937,920.1858374586101,-71.21182348185262,1286.538909936744,1288.5082423426074,5.538327649804763,-0.7121182348185262,5.583922056847946,0.0,373.20999118161245,1496.863516836292,0.0,920.1858374586101,0.0,1496.863516836292
0,12,5194760,1521.5381096280353,224.4145427174633,920.1858374586101,-90.50705437479112,1345.9880505904562,1349.027560587217,4.943836243267641,-0.9050705437479113,5.025999352308637,0.0,435.3148878680574,1745.9526523454986,0.0,920.1858374586101,0.0,1745.9526523454986
0,13,6098590,1791.464816602477,223.54786983306298,920.1858374586101,-113.01520472980168,1409.7084701730307,1414.231383960102,4.306632047441894,-1.1301520472980169,4.452451374475128,0.0,502.3990888126455,2015.01268643554,0.0,920.1858374586101,0.0,2015.01268643554
0,14,7068990,2081.272497746053,222.6131021019547,920.1858374586101,-138.96554830498982,1477.5462090186177,1484.0667853573825,3.628254658986024,-1.3896554830498982,3.8852765965918614,0.0,574.4231953892671,2303.8855998480076,0.0,920.1858374586101,0.0,2303.8855998480076
0,15,8106420,2391.098530978514,221.6105242634446,920.1858374586101,-168.60029854891334,1549.4107178144359,1558.5569072539597,2.9096095710278416,-1.6860029854891334,3.362801499181165,0.0,651.421530753771,2612.7090552419586,0.0,920.1858374586101,0.0,2612.7090552419586
0,16,9211340,2721.0802942196106,220.54044171245448,920.1858374586101,-202.16027125519477,1625.2024874047725,1637.7276636671413,2.1516918751244765,-2.021602712551948,2.952398254449098,0.0,733.4284232120293,2941.620735932065,0.0,920.1858374586101,0.0,2941.620735932065
0,17,10422100,3082.670924909425,219.40318040649552,920.1858374586101,-240.70949056818975,1707.511104977557,1724.3941638938804,1.3286056993966309,-2.4070949056818978,2.7494179364783657,0.0,823.2995419186013,3302.074105315921,0.0,920.1858374586101,0.0,3302.074105315921
0,18,12055900,3570.60145814559,218.19908676637843,920.1858374586101,-291.914162373036,1818.605249262407,1841.8846138775177,0.21766425654813126,-2.91914162373036,2.9272453856781078,0.0,944.654073034056,3788.8005449119687,0.0,920.1858374586101,0.0,3788.8005449119687
0,19,14575100,4322.954622136622,216.9285275706903,920.1858374586101,-368.5171050213242,1990.4372224711433,2024.2641115457086,-1.5006554755392312,-3.685171050213242,3.979001448302783,0.0,1131.919998857933,4539.883149707312,0.0,920.1858374586101,0.0,4539.883149707312
0,20,18193200,5403.491690505925,215.5918898440703,920.1858374586101,-479.16847201523717,2236.6903944350483,2287.441003639532,-3.9631871951782838,-4.791684720152372,6.218287159770512,0.0,1400.9948868975737,5619.083580349996,0.0,920.1858374586101,0.0,5619.083580349996
0,21,22675800,6742.209653710989,214.18958073931825,920.1858374586101,-621.5623767989506,2539.4111882826446,2614.373533263186,-6.9903951336542445,-6.215623767989506,9.354122243685563,0.0,1734.4251281053264,6956.399234450308,0.0,920.1858374586101,0.0,6956.399234450308
0,22,27498300,8182.437953705728,212.72202741337193,920.1858374586101,-784.107218475315,2860.9193055756814,2966.4260319584464,-10.205476306584613,-7.84107218475315,12.86989353688559,0.0,2093.1484716414197,8395.1599811191,0.0,920.1858374586101,0.0,8395.1599811191
0,23,31581900,9401.995503909673,211.18967689719096,920.1858374586101,-936.5185374913123,3126.4852496453186,3263.7366602277543,-12.861135747280988,-9.365185374913123,15.909604326207347,0.0,2396.836262092236,9613.185180806864,0.0,920.1858374586101,0.0,9613.185180806864
