theta,revolution,displacement,velocity,acceleration
63.17548746518106,0.17548746518105848,-6.636160459516751,2320.168811150252,-193333.29798170054
64.17827298050139,0.17827298050139276,-6.82070360561023,2340.2538136882863,-184289.88278594965
65.18105849582173,0.18105849582172703,-7.006533668453162,2359.6171640145117,-175222.77318732406
66.18384401114206,0.18384401114206128,-7.193587332961263,2378.252889886498,-166135.7992421365
67.1866295264624,0.18662952646239556,-7.381801145307965,2396.1552501272713,-157032.74654681774
68.18941504178272,0.18941504178272978,-7.57111153935868,2413.3187366496486,-147917.3541244676
69.19220055710306,0.19220055710306408,-7.761454862779934,2429.738076389681,-138793.31241263667
70.19498607242339,0.1949860724233983,-7.952767402809272,2445.408233147736,-129664.26135290782
71.19777158774373,0.19777158774373257,-8.14498541167259,2460.324409335875,-120533.78858265017
72.20055710306406,0.20055710306406682,-8.338045131636276,2474.4820476302293,-111405.427729132
73.2033426183844,0.2033426183844011,-8.531882819682268,2487.876832527231,-102282.65680598833
74.20612813370474,0.20612813370473537,-8.726434771794777,2500.5046918025946,-93168.89671187244
75.20891364902506,0.20891364902506962,-8.92163734684826,2512.361797872097,-84067.5098309334
76.2116991643454,0.2116991643454039,-9.117426990086821,2523.4445690532675,-74981.79873460767
77.21448467966573,0.21448467966573814,-9.313740256185962,2533.7496707272176,-65915.00498404453
78.21727019498607,0.21727019498607242,-9.510513831888403,2543.2740163999483,-56870.308032331435
79.2200557103064,0.22005571030640667,-9.707684558206175,2552.014768662562,-47850.824225542514
80.22284122562674,0.22284122562674094,-9.905189452182158,2559.969340049924,-38859.605901485455
81.22562674094708,0.22562674094707522,-10.102965728204621,2567.135393797406,-29899.640584893048
82.2284122562674,0.22841225626740946,-10.300950818869273,2573.5108444954753,-20973.850277675134
83.23119777158774,0.23119777158774374,-10.499082395383782,2579.0938586419597,-12085.09084272761
84.23398328690807,0.233983286908078,-10.697298387510488,2583.88285509196,-3236.1514796809065
