theta,revolution,displacement,velocity,acceleration_method1,acceleration_method2
310.4311543810848,0.86230876216968,-4.0506799729966785,-1822.4461439046204,-344162.8892982763,-336279.64802068425
311.432545201669,0.8650904033379694,-3.897314941939181,-1795.0399792567628,-350267.4162542871,-342244.34741138737
312.43393602225314,0.8678720445062587,-3.7463890313084183,-1767.084771737785,-356263.39957215416,-348102.9894159957
313.4353268428373,0.870653685674548,-3.597943995145885,-1738.589090751058,-362149.7428985174,-353854.5027937289
314.4367176634214,0.8734353268428372,-3.452020824003893,-1709.5616708170535,-367925.38265696866,-359497.8483299845
315.43810848400557,0.8762169680111266,-3.308659737538748,-1680.011408822572,-373589.2875567637,-365032.01835630304
316.43949930458973,0.878998609179416,-3.1679001773288267,-1649.9473612228885,-379140.4580975673,-370456.0362664571
317.44089012517384,0.8817802503477051,-3.0297807999139756,-1619.378741197835,-384577.9260711489,-375768.95602956094
318.442280945758,0.8845618915159944,-2.894339470052822,-1588.3149157629014,-389900.75406091905,-380969.86170107074
319.44367176634216,0.8873435326842838,-2.761613254194535,-1556.765402836409,-395108.0349401781,-386057.86693252507
320.44506258692627,0.890125173852573,-2.6316384141615305,-1524.739868263827,-400198.8913699428,-391032.1144808753
321.44645340751043,0.8929068150208623,-2.5044504010395428,-1492.2481228002628,-405172.475297192,-395891.77571822377
322.4478442280946,0.8956884561891516,-2.380083849271727,-1459.3001190522466,-410027.96745435486,-400636.0501427762
323.4492350486787,0.8984700973574409,-2.2585725709531608,-1425.9059483798248,-414764.57686085,-405264.1648917992
324.45062586926286,0.9012517385257302,-2.1399495503223185,-1392.0758377600512,-419381.5403274675,-409775.3742573531
325.452016689847,0.9040333796940195,-2.0242469384461566,-1357.8201466129588,-423878.1219643573,-414168.959205552
326.45340751043113,0.9068150208623087,-1.9114960480952317,-1323.1493635910372,-428253.6126933839,-418444.22690008744
327.4547983310153,0.9095966620305981,-1.801727348805543,-1288.0741033333068,-432507.32976557553,-422600.5102307297
328.45618915159946,0.9123783031988874,-1.6949704621237875,-1252.6051031850557,-436638.6162843791,-426637.16734750516
329.45757997218357,0.9151599443671766,-1.5912541570325816,-1216.7532198842755,-440646.8407354198,-430553.5812012248
330.45897079276773,0.9179415855354659,-1.490606345552459,-1180.5294262158604,-444531.39652343537,-434349.1590910257
331.4603616133519,0.9207232267037553,-1.393054078517446,-1143.944807634651,-448291.70151703863,-438023.3322195625
332.461752433936,0.9235048678720444,-1.2986235415209362,-1107.0105588583162,-451927.19760194473,-441575.5552564665
333.46314325452016,0.9262865090403338,-1.207340051028872,-1069.7379804311806,-455437.3502432744,-445005.3059106755
334.4645340751043,0.9290681502086231,-1.1192280506571197,-1032.1384752600002,-458821.6480575258,-448312.0845122096
335.46592489568843,0.9318497913769123,-1.0343111076100615,-994.2235451227398,-462079.60239479016,-451495.4136039559
336.4673157162726,0.9346314325452016,-0.9526119092774977,-956.0047871513752,-465210.74693176226,-454554.83754400274
337.46870653685676,0.937413073713491,-0.8741522599870749,-917.4938902897811,-468214.6372760744,-457489.9221190355
338.47009735744086,0.9401947148817802,-0.7989530779093942,-878.7026317276881,-471090.85058246995,-460300.2541693016
339.471488178025,0.9429763560500695,-0.7270343921131939,-839.6428733117552,-473838.9851813046,-462985.4412256218
340.4728789986092,0.9457579972183588,-0.658415339768024,-800.3265579347831,-476458.66021984123,-465545.1111589023
341.4742698191933,0.948539638386648,-0.5931141634918582,-760.7657059040525,-478949.51531679474,-467978.9118425898
342.47566063977746,0.9513212795549374,-0.5311482088412813,-720.9724112898102,-481311.2102305498,-470286.51082849165
343.4770514603616,0.9541029207232268,-0.4725339219419631,-680.9588382549224,-483543.4245414588,-472467.5950363496
344.4784422809457,0.9568845618915159,-0.4172868472571233,-640.7372173666504,-485645.85734861175,-474521.8704575552
345.4798331015299,0.9596662030598052,-0.3654216254919772,-600.319841891588,-487618.22698143905,-476449.06187335897
346.48122392211405,0.9624478442280946,-0.3169519916320809,-559.7190640747292,-489460.27072649606,-478248.912587913
347.48261474269816,0.9652294853963838,-0.27189077311370874,-518.9472914036434,-491171.7445697538,-479921.18417646457
348.4840055632823,0.9680111265646731,-0.23024988812444008,-478.01698285874676,-492752.42295470077,-481465.65624899865
