degree,velocity,acceleration
118.06559199555309,-2504.930908203125,69384.078125
119.06614785992217,-2498.7861328125,78023.296875
120.06670372429129,-2491.92041015625,86651.90625
121.06725958866038,-2484.336181640625,95267.8125
122.06781545302945,-2476.033935546875,103869.0234375
123.06837131739857,-2467.015380859375,112453.4375
124.06892718176766,-2457.281982421875,121018.9609375
125.06948304613674,-2446.835205078125,129563.5859375
126.07003891050583,-2435.676513671875,138085.125
127.07059477487495,-2423.808837890625,146581.671875
128.07115063924402,-2411.2333984375,155050.828125
129.07170650361311,-2397.95361328125,163490.5625
130.07226236798223,-2383.970703125,171898.828125
131.07281823235132,-2369.28857421875,180273.390625
132.07337409672039,-2353.909423828125,188612.109375
133.07392996108948,-2337.836669921875,196912.84375
134.0744858254586,-2321.07373046875,205173.359375
