theta,displacement_method1,velocity_method1,acceleration_method1,displacement_method2,velocity_method2,acceleration_method2
1.6801832576301956,13.255160827814546,2487.9546002451884,-57227.337133358444,-13.255162239074707,-0.0,0.0
1.7151870754974914,13.670090881746242,2476.868046794243,-75428.2059619297,-13.670090675354004,-0.0,0.0
1.7501908933647872,14.082914234017638,2462.746977865149,-93536.66451504172,-14.082914352416992,-0.0,0.0
1.7851947112320827,14.493125117333678,2445.608693774848,-111530.52735660059,-14.493125915527344,-0.0,0.0
1.8201985290993785,14.900220965045195,2425.474191357793,-129387.7494465508,-14.90022087097168,-0.0,0.0
1.8552023469666743,15.303703026864472,2402.368138241842,-147086.45314918258,-15.303702354431152,-0.0,0.0
1.89020616483397,15.703076979905262,2376.318842626904,-164604.95503634625,-15.70307731628418,-0.0,0.0
1.9252099827012659,16.097853534298594,2347.358218603373,-181921.7924527343,-16.09785270690918,-0.0,0.0
1.9602138005685616,16.487549032642423,2315.521747052829,-199015.74981068532,-16.487548828125,-0.0,0.0
1.9952176184358572,16.871686042550706,2280.8484321789124,-215865.8845822947,-16.871685028076172,-0.0,0.0
2.030221436303153,17.249793941575962,2243.380753721632,-232451.55295698947,-17.249794006347656,-0.0,0.0
2.0652252541704486,17.62140949378864,2203.1646149136445,-248752.43513312933,-17.621410369873047,-0.0,0.0
2.1002290720377443,17.986077417307026,2160.2492862422646,-264748.5602126547,-17.98607635498047,-0.0,0.0
2.13523288990504,18.34335094208226,2114.6873450861194,-280420.330668274,-18.343351364135742,-0.0,0.0
2.170236707772336,18.692792357255147,2066.5346113003807,-295748.54635322164,-18.692792892456055,-0.0,0.0
2.2052405256396317,19.033973547414202,2015.8500788295096,-310714.4280241669,-19.033973693847656,-0.0,0.0
2.2402443435069275,19.366476517097883,1962.6958434312846,-325299.6403484574,-19.36647605895996,-0.0,0.0
2.2752481613742233,19.689893902898465,1907.137026600674,-339486.3143675073,-19.689891815185547,-0.0,0.0
2.310251979241519,20.003829472540115,1849.2416957867447,-353257.0693888128,-20.003829956054688,-0.0,0.0
2.345255797108815,20.30789861031977,1789.0807810003598,-366595.0342797707,-20.307899475097656,-0.0,0.0
2.3802596149761106,20.60172878831604,1726.727987914834,-379483.8681372146,-20.601728439331055,-0.0,0.0
2.4152634328434064,20.88496002278889,1662.2597075660033,-391907.7803073443,-20.884958267211914,-0.0,0.0
2.4502672507107017,21.157245315210865,1595.7549227623474,-403851.54973152146,-21.157245635986328,-0.0,0.0
2.4852710685779975,21.41825107738967,1527.2951113198183,-415300.54359423066,-21.418249130249023,-0.0,0.0
2.5202748864452933,21.66765754016107,1456.9641462399366,-426240.7352503584,-21.66765594482422,-0.0,0.0
2.555278704312589,21.905159145151615,1384.8481929534385,-436658.7214098272,-21.90515899658203,-0.0,0.0
2.590282522179885,22.130464919131075,1311.0356037553734,-446541.7385585318,-22.130464553833008,-0.0,0.0
2.6252863400471806,22.343298830496018,1235.6168095609826,-455877.6785954584,-22.343297958374023,-0.0,0.0
2.6602901579144764,22.543400127447754,1158.6842091149724,-464655.10366682964,-22.54340171813965,-0.0,0.0
2.695293975781772,22.730523657450366,1080.332055789915,-472863.26017910143,-22.73052406311035,-0.0,0.0
2.730297793649068,22.904440167577423,1000.6563421124695,-480492.09197364416,-22.90443992614746,-0.0,0.0
2.7653016115163638,23.064936585379396,919.7546821588875,-487532.2526469661,-23.0649356842041,-0.0,0.0
2.800305429383659,23.211816279927707,837.7261919638962,-493975.1170013868,-23.211816787719727,-0.0,0.0
2.835309247250955,23.344899302715568,754.671368089459,-499812.79161213065,-23.344898223876953,-0.0,0.0
2.8703130651182507,23.464022608120484,670.691964502208,-505038.1244978937,-23.46402359008789,-0.0,0.0
2.9053168829855465,23.56904025315832,585.8908679103633,-509644.7138830379,-23.569040298461914,-0.0,0.0
2.9403207008528423,23.6598235762842,500.3719717128912,-513626.91604067665,-23.65982437133789,-0.0,0.0
2.975324518720138,23.736261355021202,414.24004871531974,-516979.8522070421,-23.73626136779785,-0.0,0.0
3.010328336587434,23.798259942223694,327.60062276815734,-519699.4145586643,-23.798259735107422,-0.0,0.0
3.0453321544547296,23.845743380808393,240.5598394851739,-521782.27124503953,-23.845745086669922,-0.0,0.0
3.0803359723220254,23.87865349681262,153.22433619993467,-523225.8704706203,-23.878652572631836,-0.0,0.0
3.115339790189321,23.896949970665638,65.70111131990573,-524028.4436211277,-23.896949768066406,-0.0,0.0
3.150343608056617,23.900610386585882,-21.902606761805817,-524189.0074303556,-23.900609970092773,-0.0,0.0
3.1853474259239123,23.889630260043475,-109.47949103647655,-523707.3651848113,-23.889631271362305,-0.0,0.0
3.220351243791208,23.864023043254406,-196.92224737061477,-522584.10696471774,-23.86402130126953,-0.0,0.0
3.255355061658504,23.82382010869966,-284.1237459565207,-520820.6089210811,-23.823820114135742,-0.0,0.0
3.2903588795257996,23.769070710689462,-370.97715256153543,-518419.03158971027,-23.769071578979492,-0.0,0.0
3.3253626973930954,23.69984192501976,-457.3760594151628,-515382.31724425347,-23.699840545654297,-0.0,0.0
3.360366515260391,23.616218566794814,-543.214615573715,-511714.18629149446,-23.61621856689453,-0.0,0.0
3.395370333127687,23.518303086516667,-628.3876566027681,-507419.1327133257,-23.51830291748047,-0.0,0.0
