theta,displacement_method1,velocity_method1,acceleration_method1,displacement_method2,velocity_method2,acceleration_method2
0.7350801752132106,3.009793184566753,1637.1710996495704,379255.8530924252,-3.009793184566753,-1637.1710996495704,-379255.8530924252
0.7700839930805063,3.2886555096769623,1699.5406521126763,367023.5827315108,-3.2886555096769623,-1699.5406521126763,-367023.5827315108
0.805087810947802,3.5777687638826077,1759.8280256638882,354341.656304305,-3.5777687638826077,-1759.8280256638882,-354341.656304305
0.8400916288150978,3.8767787423458655,1817.9593596999273,341225.6109735912,-3.8767787423458655,-1817.9593596999273,-341225.6109735912
0.8750954466823936,4.1853191153347415,1873.863435072432,327691.51575952565,-4.1853191153347415,-1873.863435072432,-327691.51575952565
0.9100992645496893,4.5030118770290715,1927.471761341537,313755.951852803,-4.5030118770290715,-1927.471761341537,-313755.951852803
0.945103082416985,4.829467808631389,1978.7186606864045,299435.99230034096,-4.829467808631389,-1978.7186606864045,-299435.99230034096
0.9801069002842808,5.164286955215282,2027.5413483698846,284749.18108837045,-5.164286955215282,-2027.5413483698846,-284749.18108837045
1.0151107181515766,5.5070591157270465,2073.88000965875,269713.5116485579,-5.5070591157270465,-2073.88000965875,-269713.5116485579
1.0501145360188722,5.857364345540279,2117.677873105244,254347.40481349436,-5.857364345540279,-2117.677873105244,-254347.40481349436
1.085118353886168,6.21477347094776,2158.8812801001773,238669.6862485558,-6.21477347094776,-2158.8812801001773,-238669.6862485558
1.1201221717534637,6.578848614960248,2197.439750612349,222699.5633877874,-6.578848614960248,-2197.439750612349,-222699.5633877874
1.1551259896207595,6.94914373376804,2233.306045033767,206456.6019020661,-6.94914373376804,-2233.306045033767,-206456.6019020661
1.1901298074880553,7.325205163208061,2266.4362220548783,189960.70172837196,-7.325205163208061,-2266.4362220548783,-189960.70172837196
1.2251336253553509,7.706572174566942,2296.7896924989204,173232.0726895368,-7.706572174566942,-2296.7896924989204,-173232.0726895368
1.2601374432226466,8.092777539039215,2324.329269049439,156291.2097343374,-8.092777539039215,-2324.329269049439,-156291.2097343374
1.2951412610899424,8.483348100148998,2349.0212118100285,139158.86782827054,-8.483348100148998,-2349.0212118100285,-139158.86782827054
1.3301450789572382,8.87780535343396,2370.835269640509,121856.03652576887,-8.87780535343396,-2370.835269640509,-121856.03652576887
1.365148896824534,9.275666032681308,2389.744717218871,104403.91425501318,-9.275666032681308,-2389.744717218871,-104403.91425501318
1.4001527146918296,9.6764427019976,2405.7263877835912,86823.88234684424,-9.6764427019976,-2405.7263877835912,-86823.88234684424
1.4351565325591253,10.079644352987017,2418.7607015162152,69137.47883959246,-10.079644352987017,-2418.7607015162152,-69137.47883959246
1.4701603504264211,10.484777006306441,2428.831689529414,51366.37209191957,-10.484777006306441,-2428.831689529414,-51366.37209191957
1.505164168293717,10.891344316860383,2435.9270134311405,33532.33423599849,-10.891344316860383,-2435.9270134311405,-33532.33423599849
1.5401679861610127,11.298848181894282,2440.037980440919,15657.214503556259,-11.298848181894282,-2440.037980440919,-15657.214503556259
1.5751718040283085,11.706789351241202,2441.159554039731,-2237.0875425410068,-11.706789351241202,-2441.159554039731,2237.0875425410068
1.610175621895604,12.114668038974244,2439.2903601404714,-20128.648838365818,-12.114668038974244,-2439.2903601404714,20128.648838365818
1.6451794397628998,12.521984535715381,2434.4326887713987,-37995.54967779973,-12.521984535715381,-2434.4326887713987,37995.54967779973
1.6801832576301956,12.928239820850468,2426.5924912705236,-55815.900567288874,-12.928239820850468,-2426.5924912705236,55815.900567288874
1.7151870754974914,13.33293617390044,2415.7793729943774,-73567.8690435859,-13.33293617390044,-2415.7793729943774,73567.8690435859
1.7501908933647872,13.735577784299668,2402.0065815500816,-91229.7064216211,-13.735577784299668,-2402.0065815500816,91229.7064216211
1.7851947112320827,14.13567135883437,2385.290990565147,-108779.7744397334,-14.13567135883437,-2385.290990565147,108779.7744397334
1.8201985290993785,14.532726725996948,2365.6530790148804,-126196.57176961751,-14.532726725996948,-2365.6530790148804,126196.57176961751
